"TASMSOL"
.ALTWILD

XOR A,B	8E	1	NOP 	1
XOR AL,@ 	8F	2	NOP 	1
XOR AL,BL	90	1	NOP 	1
TEST A,@	91	3	NOP 	1
TEST A,B	92	1	NOP 	1
TEST AL,@ 	93	2	NOP 	1
TEST AL,BL	94	1	NOP 	1
NOT A	95	1	NOP 	1
NOT AL	96	1	NOP 	1
NOT B	97	1	NOP 	1
NOT BL	98	1	NOP 	1
MOV BL,AH	99	1	NOP 	1
MOV BH,AH	9A	1	NOP 	1
MOV BP,SP	9B	1	NOP 	1
MOV SP,BP	9C	1	NOP 	1
SHL A,CL	9D	1	NOP 	1
SHL AL,CL	9E	1	NOP 	1
SHL B,CL	9F	1	NOP 	1
SHL BL,CL	A0	1	NOP 	1
SHR A,CL	A1	1	NOP 	1
SHR AL,CL	A2	1	NOP 	1
SHR B,CL	A3	1	NOP 	1
SHR BL,CL	A4	1	NOP 	1
ASHR A,CL	A5	1	NOP 	1
ASHR AL,CL	A6	1	NOP 	1
MOV BH,@	A7	2	NOP 	1
LOOPC @	A9	3	NOP 	1
SNEX A	AA	1	NOP 	1
SNEX B	AB	1	NOP 	1
MUL A,B	AC	1	NOP 	1
MUL AL,BL	AD	1	NOP 	1
DIV A,B	AE	1	NOP 	1
CMP A,@	AF	3	NOP 	1
CMP A,B	B0	1	NOP 	1
CMP A,C	B1	1	NOP 	1
CMP A,D	B2	1	NOP 	1
CMP WORD[@],@	B3	5	COMBINE 	1
CMP WORD[D],@	B4	3	NOP 	1
CMP WORD[D+@],@	B5	5	NOP 	1
CMP WORD[BP+@],@	B6	5	NOP 	1
MOV A,[A+@]	B7	3	NOP	1
MOV WORD[@],@ 	B8	5	COMBINE	1
CMP AL,@ 	B9	2	NOP 	1
CMP AL,BL	BA	1	NOP 	1
CMP AL,CL	BB	1	NOP 	1
CMP BYTE[@],@	BC	4	COMBINE 	1
CMP BYTE[D],@	BD	2	NOP 	1
CMP BYTE[D+@],@	BE	4	NOP 	1
CMP BYTE[BP+@],@	BF	4	NOP 	1
CMP B,@	C0	3	NOP 	1
CMP BL,@ 	C1	2	NOP 	1
CMP C,@	C2	3	NOP 	1
CMP CL,@ 	C3	2	NOP 	1
CMP CH,@ 	C4	2	NOP 	1
CMP D,@	C5	3	NOP 	1
JZ @	C6	3	NOP 	1
JNZ @	C7	3	NOP 	1
JC @	C8	3	NOP 	1
JLU @	C8	3	NOP 	1
JNC @	C9	3	NOP 	1
JGEU @	C9	3	NOP 	1
JNEG @	CA	3	NOP 	1
JPOS @	CB	3	NOP 	1
JL @	CC	3	NOP 	1
JLE @	CD	3	NOP 	1
JG @	CE	3	NOP 	1
JGE @	CF	3	NOP 	1
JLEU @	D0	3	NOP 	1
JGU @	D1	3	NOP 	1
PUSH BP	D2	1	NOP 	1
ADD SI,@	D3	3	NOP 	1
ADD DI,@	D4	3	NOP 	1
SUB SI,@	D5	3	NOP 	1
SUB DI,@	D6	3	NOP 	1
PUSH A	D7	1	NOP 	1
PUSH B	D8	1	NOP 	1
PUSH C	D9	1	NOP 	1
PUSH D	DA	1	NOP 	1
PUSH AL	DB	1	NOP 	1
PUSH AH	DC	1	NOP 	1
PUSH BL	DD	1	NOP 	1
PUSH BH	DE	1	NOP 	1
PUSH CL	DF	1	NOP 	1
PUSH CH	E0	1	NOP 	1
PUSHF ""	E1	1	NOP 	1
PUSH SI	E2	1	NOP 	1
PUSH DI	E3	1	NOP 	1
POP A	E4	1	NOP 	1
POP B	E5	1	NOP 	1
POP C	E6	1	NOP 	1
POP D	E7	1	NOP 	1
POP AL	E8	1	NOP 	1
POP AH	E9	1	NOP 	1
POP BL	EA	1	NOP 	1
POP BH	EB	1	NOP 	1
POP CL	EC	1	NOP 	1
POP CH	ED	1	NOP 	1
POPF ""	EE	1	NOP 	1
POP SI	EF	1	NOP 	1
POP DI	F0	1	NOP 	1
POP BP	F1	1	NOP 	1
MOV BYTE[@],@ 	F2	4	COMBINE	1
CMPSB ""	F3	1	NOP 	1
SCANSB ""	F4	1	NOP 	1
MOVSB ""	F5	1	NOP 	1
LODSB ""	F6	1	NOP 	1
STOSB ""	F7	1	NOP 	1
ENTER @	F8	3	NOP	1
LEAVE ""	F9	1	NOP	1
LEA D,[BP+@]	FA	3	NOP	1
LEA D,[SI+@]	FB	3	NOP	1
LEA D,[DI+@]	FC	3	NOP	1
ESC ""	FD	1	NOP	1
NOP ""	FE	1	NOP 	1
HALT ""	FF	1	NOP 	1
				
CALL [A+@]	FD07	4	NOP	1
SUPCOPY ""	FD08	2	NOP	1
SUPSTART ""	FD09	2	NOP	1
JMP [@+AL]	FD0A	4	NOP 	1
JMP [@+BL]	FD0B	4	NOP 	1
STI ""	FD0C	2	NOP	1
CLI	FD0D	2	NOP	1
LODMSKS ""	FD0E	2	NOP 	1
STOMSKS ""	FD0F	2	NOP 	1
CLA ""	FD10	2	NOP	1
MOV A,PC	FD11	2	NOP 	1
MOV A,PC	FD11	2	NOP	1
MOV A,G	FD12	2	NOP	1
MOV A,[SP+@]	FD17	4	NOP 	1
MOV A,[SP+D]	FD18	2	NOP 	1
MOV AL,GL	FD1A	2	NOP	1
MOV AL,GH	FD1B	2	NOP	1
MOV AL,[SP+@]	FD20	4	NOP 	1
MOV AL,[SP+D]	FD21	2	NOP 	1
MOV AH,GL	FD23	2	NOP	1
MOV AH,GH	FD24	2	NOP	1
MOV B,G	FD27	2	NOP	1
MOV B,[SP+@]	FD2C	4	NOP 	1
MOV BL,GL	FD2F	2	NOP	1
MOV BL,GH	FD30	2	NOP	1
MOV BL,[SP+@]	FD34	4	NOP 	1
MOV BL,[SP+D]	FD35	2	NOP 	1
MOV BH,GL	FD36	2	NOP	1
MOV BH,GH	FD37	2	NOP	1
MOV C,G	FD38	2	NOP	1
MOV C,B	FD39	2	NOP	1
MOV CL,GL	FD3A	2	NOP	1
MOV D,G	FD3B	2	NOP	1
MOV D,C	FD3C	2	NOP 	1
MOV [@],BL	FD3D	4	NOP 	1
MOV [@],B	FD42	4	NOP 	1
MOV [D],B	FD43	2	NOP 	1
MOV [D+@],B	FD44	4	NOP 	1
MOV SP,@	FD47	4	NOP	1
MOV BP,@	FD49	4	NOP	1
CMC ""	FD4A	2	NOP	1
MOV SI,@	FD4D	4	NOP	1
MOV SI,D	FD4E	2	NOP	1
MOV DI,@	FD4F	4	NOP	1
MOV DI,D	FD50	2	NOP	1
INC SP	FD51	2	NOP	1
DEC SP	FD52	2	NOP	1
STC ""	FD53	2	NOP	1
CLC ""	FD54	2	NOP	1
ADD A,C	FD55	2	NOP 	1
ADD A,D	FD56	2	NOP 	1
ADD B,C	FD57	2	NOP 	1
ADD B,D	FD58	2	NOP 	1
ADD C,A	FD59	2	NOP 	1
ADD C,B	FD5A	2	NOP 	1
ADD C,D	FD5B	2	NOP 	1
ADD D,C	FD5C	2	NOP 	1
ADD BL,AL 	FD6C	2	NOP 	1
INC B	FD77	2	NOP	1
MOV G,A	FD78	2	NOP	1
MOV G,B	FD79	2	NOP	1
MOV G,C	FD7A	2	NOP	1
MOV G,D	FD7B	2	NOP	1
MOV G,SI	FD7C	2	NOP	1
MOV G,DI	FD7D	2	NOP	1
DEC B	FD7D	2	NOP	1
MOV CL,GH	FD83	2	NOP	1
NAND AL,@ 	FD84	3	NOP 	1
NAND A,@	FD85	4	NOP 	1
NAND A,B	FD86	2	NOP 	1
AND BL,@ 	FD87	3	NOP 	1
NAND AL,BL	FD88	2	NOP 	1
NOR A,@	FD89	4	NOP 	1
NOR A,B	FD8A	2	NOP 	1
OR BL,@ 	FD8B	3	NOP 	1
OR BL,@	FD8B	3	NOP	1
NOR AL,BL	FD8C	2	NOP 	1
NOR AL,@ 	FD8D	3	NOP 	1
ASHR B,CL	FD8E	2	NOP	1
ASHR BL,CL	FD8F	2	NOP	1
ASHR B,@	FD90	3	NOP	1
ASHR BL,@	FD91	3	NOP	1
TEST BL,@ 	FD93	3	NOP 	1
TEST BL,@	FD93	3	NOP	1
TEST CL,@ 	FD94	3	NOP 	1
